customer_id,age,gender,gender_encoded,age_scaled
CUST001,54.0,O,2,0.813953488372093
CUST002,50.0,F,0,0.7209302325581396
CUST003,31.0,O,2,0.2790697674418604
CUST004,41.0,M,1,0.5116279069767442
CUST005,41.0,M,1,0.5116279069767442
CUST006,52.0,F,0,0.7674418604651162
CUST007,51.0,M,1,0.7441860465116278
CUST008,62.0,F,0,0.9999999999999999
CUST009,26.0,M,1,0.16279069767441856
CUST010,57.0,M,1,0.883720930232558
CUST011,41.0,M,1,0.5116279069767442
CUST012,59.0,O,2,0.9302325581395349
CUST013,43.0,O,2,0.5581395348837209
CUST014,46.0,O,2,0.6279069767441859
CUST015,22.0,M,1,0.06976744186046513
CUST016,60.0,O,2,0.9534883720930233
CUST017,53.0,M,1,0.7906976744186046
CUST018,31.0,O,2,0.2790697674418604
CUST019,45.0,O,2,0.6046511627906977
CUST020,49.0,M,1,0.6976744186046512
CUST021,47.0,F,0,0.6511627906976744
CUST022,54.0,O,2,0.813953488372093
CUST023,58.0,M,1,0.9069767441860465
CUST024,33.0,O,2,0.32558139534883723
CUST025,30.0,O,2,0.2558139534883721
CUST026,34.0,F,0,0.34883720930232553
CUST027,38.0,F,0,0.4418604651162791
CUST028,19.0,M,1,0.0
CUST029,38.0,M,1,0.4418604651162791
CUST030,23.0,M,1,0.09302325581395343
CUST021_TEST_NULL,,,3,
CUST022_TEST_NULL,,,3,
CUST023_TEST_NULL,,,3,
CUST024_TEST_NULL,,,3,
CUST025_TEST_NULL,,,3,
CUST026_TEST_NULL,,,3,
CUST027_TEST_NULL,,,3,
CUST028_TEST_NULL,,,3,
CUST029_TEST_NULL,,,3,
CUST030_TEST_NULL,,,3,
